№,YouTube ID,Исходное название,YouTube,Основной плейлист,Порядок,Дополнительные плейлисты,Визуальная рубрика,HEX,Язык / среда,Формат,Урок / часть,Надпись на обложке,Статус,Файл в архиве,Разрешение,"Размер, байт",Проверка перед загрузкой,Основание тематики,Источник визуала,Примечания,Старые плейлисты,SHA-256
74,sv1_km5KX00,Изменение разрешения картинки. MOKO SE.,https://www.youtube.com/watch?v=sv1_km5KX00,MOKO SE — возможности и инструкции,12,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,РАЗМЕР ИЗОБРАЖЕНИЯ,Готово · проверить новый макет,thumbnails/sv1_km5KX00.jpg,1280 × 720,87140,Финальное визуальное согласование,Название + исходная обложка + описание автора,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO SE - Платформа для автоматизации измерений,94f16aedd1bcb52a3d1a9df1b98b0f2893ad8f2463ed8f27e0add0f9f22b4dde
75,xEI929oBzYg,Report TABLE через точку с запятой. MOKO SE.,https://www.youtube.com/watch?v=xEI929oBzYg,MOKO SE — возможности и инструкции,9,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ТАБЛИЦЫ В ОТЧЁТЕ,Готово · проверить новый макет,thumbnails/xEI929oBzYg.jpg,1280 × 720,125887,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Проверить версию программы и актуальность интерфейса перед финальной обложкой. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO SE - Платформа для автоматизации измерений,f6b036a00cdfd083165adb8d48b84e87dc9256a0b50b7830b8e12e3e567848e6
76,jR89eqIiAGM,Загрузка картинок разных форматов. MOKO SE.,https://www.youtube.com/watch?v=jR89eqIiAGM,MOKO SE — возможности и инструкции,13,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ФОРМАТЫ ИЗОБРАЖЕНИЙ,Готово · проверить новый макет,thumbnails/jR89eqIiAGM.jpg,1280 × 720,88003,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,Проверить версию программы и актуальность интерфейса перед финальной обложкой. Условная иллюстрация/схема; не изображение конкретной модели или точного интерфейса.,MOKO SE - Платформа для автоматизации измерений,eee13292de4bdf063e48c396ca9a03bef760c51622e1d3ac67c2c8be938ec02f
77,U2Y2vPSSbLE,Создание PRESET для устройства в плагине. Часть 2. Уроки LabView.,https://www.youtube.com/watch?v=U2Y2vPSSbLE,"LabVIEW — драйверы, утилиты и плагины",13,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,PRESET УСТРОЙСТВА,Готово · проверить новый макет,thumbnails/U2Y2vPSSbLE.jpg,1280 × 720,112456,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Уроки по программированию и не только,3897ac9ed155d9b133d729fbc9408f9d2af8b82541dea8feace77fe1d64f293c
78,POZUZuiS7cI,Создание PRESET для устройства в плагине. Часть 1. Уроки LabView.,https://www.youtube.com/watch?v=POZUZuiS7cI,"LabVIEW — драйверы, утилиты и плагины",12,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,PRESET УСТРОЙСТВА,Готово · проверить новый макет,thumbnails/POZUZuiS7cI.jpg,1280 × 720,111741,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Уроки по программированию и не только,e39bca2274909de68129e32dd691f05225e338094ad6fe095b9875f55adbf582
79,lSWbtmhcpfc,Обновление внешней библиотеки LabView на примере JSON. Уроки LabView.,https://www.youtube.com/watch?v=lSWbtmhcpfc,"LabVIEW — драйверы, утилиты и плагины",10,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,Обновляем библиотеку,Утверждено · прежние 18 сохранены,thumbnails/lSWbtmhcpfc.jpg,1280 × 720,170489,,Название LabVIEW или логотип LabVIEW на исходной обложке,Ранее согласованный образец/партия. Файл в этой итерации не менялся.,,MOKO - Уроки по программированию и не только,5b4a4d0bf29d038066bcfa1370a63ced79bde437dbdcc2194939961a36d5d540
80,fXtQYcZJ7tA,Создаем новый плагин  используя MOKO ExPlugin. Уроки LabView.,https://www.youtube.com/watch?v=fXtQYcZJ7tA,"LabVIEW — драйверы, утилиты и плагины",11,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,СОЗДАЁМ ПЛАГИН,Готово · проверить новый макет,thumbnails/fXtQYcZJ7tA.jpg,1280 × 720,109762,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Уроки по программированию и не только,b957f9188d50a692bb3cd986861b9d554c62181f4040755e513f27d43f531365
81,T-uG-K0wJdg,Настройки вида лицевой программы. Уроки LabView.,https://www.youtube.com/watch?v=T-uG-K0wJdg,"LabVIEW — драйверы, утилиты и плагины",6,"Разработка ПО — практика, инструменты и стримы",Разработка · LabVIEW,#FF9A48,LabVIEW,Урок,,НАСТРОЙКА ИНТЕРФЕЙСА,Готово · проверить новый макет,thumbnails/T-uG-K0wJdg.jpg,1280 × 720,115492,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - Уроки по программированию и не только,a9648eb7575be312553ce6a0e72ccf3e6f51a8e9388eba76892f7b41f850192e
82,q8obUwFp1m8,Функционал дерева. MOKO SE.,https://www.youtube.com/watch?v=q8obUwFp1m8,MOKO SE — возможности и инструкции,7,,MOKO SE · Инструкции,#55D6C2,Не подтверждён / не применимо,Видео,,ДЕРЕВО В MOKO SE,Готово · проверить новый макет,thumbnails/q8obUwFp1m8.jpg,1280 × 720,122720,Финальное визуальное согласование,Название + исходная обложка; содержательное описание ограничено,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Проверить версию программы и актуальность интерфейса перед финальной обложкой. Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO SE - Платформа для автоматизации измерений,4ec925fa1d51a60853bd2ac1f279e93cfa9f28aeaa3558fee422442be5cadd50
83,PwvxyezgN9U,Передвижная установка поверки систем налива нефтепродуктов от партнеров. Продукты и решения MOKO.,https://www.youtube.com/watch?v=PwvxyezgN9U,"Автоматизация измерений — стенды, испытания и поверка",6,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,ПОВЕРКА СИСТЕМ НАЛИВА,Готово · проверить новый макет,thumbnails/PwvxyezgN9U.jpg,1280 × 720,139411,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,2be113e22a70920d75945c8fb8e4a19fa75b0709ec2ac551a6fcafc9b19024a3
84,0Y3moGLIZbM,Лаборатория под ключ. Лекция.,https://www.youtube.com/watch?v=0Y3moGLIZbM,"Автоматизация измерений — стенды, испытания и поверка",1,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,ЛАБОРАТОРИЯ ПОД КЛЮЧ,Готово · проверить новый макет,thumbnails/0Y3moGLIZbM.jpg,1280 × 720,113711,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - Презентации и интервью,4ef06ecdd47a83cae4262f5e53c26cc09ba1a0db64de3ca56ed108d51a61e9b6
85,rSy3uobcJwU,Интервью CEO МОКО на ежегодной конференции Keysight,https://www.youtube.com/watch?v=rSy3uobcJwU,"MOKO — компания, выставки и интервью",5,,Компания · События,#ED6262,Не подтверждён / не применимо,Видео,,MOKO НА KEYSIGHT,Готово · проверить новый макет,thumbnails/rSy3uobcJwU.jpg,1280 × 720,118892,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры; MOKO - СМИ о Нас; MOKO - Презентации и интервью,e4995deafcf6592a3dd80c8526763272ce00b1b2e3874d4256bf8713d9a46173
86,zTD8sbNUeGU,"Контроллеры: КУиТ-862, STM32F7. Мобильное приложение телеметрии. Продукты и решения MOKO.",https://www.youtube.com/watch?v=zTD8sbNUeGU,Электроника и оборудование — проекты MOKO,8,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,КУиТ-862 ТЕЛЕМЕТРИЯ,Готово · проверить новый макет,thumbnails/zTD8sbNUeGU.jpg,1280 × 720,134751,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - решения и обзоры,e39fe8b9a165af612a411c9882b58dded6b84f1c42bf64f7c92b21921cff645c
87,24djPbWsmM8,"Разработка, производство радиоэлектронного оборудования спец. назначения. Продукты и решения MOKO.",https://www.youtube.com/watch?v=24djPbWsmM8,Электроника и оборудование — проекты MOKO,9,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,СПЕЦИАЛЬНАЯ ЭЛЕКТРОНИКА,Готово · проверить новый макет,thumbnails/24djPbWsmM8.jpg,1280 × 720,140377,Финальное визуальное согласование,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.",MOKO - решения и обзоры,0f53dbc843794e0fd9bfc9cf8d74cfbcfc3102f55fe1760c9715ba77e1d0053d
88,GxL-DZFXYQY,Передача с датчика информации на 2API.by для packbel.by. Продукты и решения MOKO.,https://www.youtube.com/watch?v=GxL-DZFXYQY,Электроника и оборудование — проекты MOKO,10,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,ДАТЧИК И ТЕЛЕМЕТРИЯ,Готово · проверить новый макет,thumbnails/GxL-DZFXYQY.jpg,1280 × 720,101304,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,e63992ee71eeeaf974151c1d1c38115ffb64067555c0625dba23c2b4a8686daa
89,Sz_qOev_6Y0,Поворотное устройство с навесной конструкцией и видеокамерой. Продукты и решения MOKO.,https://www.youtube.com/watch?v=Sz_qOev_6Y0,Электроника и оборудование — проекты MOKO,11,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,ПОВОРОТНАЯ ВИДЕОСИСТЕМА,Готово · проверить новый макет,thumbnails/Sz_qOev_6Y0.jpg,1280 × 720,109151,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,fdd15792cbfaf547a1c636833a6e962a82c1ae7b665e4623f7b9e26c2f536365
90,opy_PhgdODo,Стенд водоподготовки в БелГисс. Продукты и решения MOKO.,https://www.youtube.com/watch?v=opy_PhgdODo,"Автоматизация измерений — стенды, испытания и поверка",7,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,СТЕНД ВОДОПОДГОТОВКИ,Готово · проверить новый макет,thumbnails/opy_PhgdODo.jpg,1280 × 720,131959,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,d4c24885f588a2e86619b2109f723153658061d4d7053e5ec3c82a7687e7b33c
91,t9HsjGb3dFs,Стенд испытания стиральных машин в БелГисс. Продукты и решения MOKO.,https://www.youtube.com/watch?v=t9HsjGb3dFs,"Автоматизация измерений — стенды, испытания и поверка",8,,Практика · Испытания,#55C9FF,Не подтверждён / не применимо,Видео,,ИСПЫТАНИЯ СТИРАЛЬНЫХ МАШИН,Готово · проверить новый макет,thumbnails/t9HsjGb3dFs.jpg,1280 × 720,138209,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,cee722b1aad28588f4b437ce33ad4cb2d4f06b70c6139bee4587a6533dc1bddb
92,m96Fj9w5RGw,Прототип на базе stm32f769. Продукты и решения MOKO.,https://www.youtube.com/watch?v=m96Fj9w5RGw,Электроника и оборудование — проекты MOKO,12,,Практика · Электроника,#55C9FF,Не подтверждён / не применимо,Видео,,ПРОТОТИП STM32F769,Готово · проверить новый макет,thumbnails/m96Fj9w5RGw.jpg,1280 × 720,126453,Финальное визуальное согласование; ограничение качества исходного фото,Название + исходная обложка + описание автора,"Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка.","Исходный интерфейс/фото: сохранён без генеративной перерисовки, обрезаны поля и добавлена рамка. Чёткость фото ограничена исходной обложкой. Для повышения качества нужен оригинальный кадр/снимок; оборудование не дорисовывалось.",MOKO - решения и обзоры,540be579820364ed33f4b9311f4e5cf443c0ace8c25281fb162714288c291adb
93,69rZmdvcS_8,Промо MOKO. Тестирование Short. #mokose #moko #johnnyrespect,https://www.youtube.com/shorts/69rZmdvcS_8,Медиапроекты MOKO — промо и съёмки,5,,Медиа · Портфолио,#B69AFF,Не подтверждён / не применимо,Shorts,,MOKO ПРОМО,"Готово · вертикальный макет, применение отдельно",shorts/69rZmdvcS_8.jpg,1080 × 1920,226913,Финальное визуальное согласование; не обычная пользовательская обложка Shorts,Название и исходная обложка,Вертикальный макет 1080×1920. Исходное изображение сохранено. Не обычная пользовательская обложка Shorts: применение зависит от доступного выбора/монтажа кадра.,Нужен отдельный вертикальный макет; способ применения проверить в текущем интерфейсе YouTube. Вертикальный макет 1080×1920. Исходное изображение сохранено. Не обычная пользовательская обложка Shorts: применение зависит от доступного выбора/монтажа кадра.,,25d61e93b272ebf8fa72e18311aa0fab06ffa629862498eccf0ccbd991749de5
94,IQ2V9DLpqjg,Драйвера на LabView для роботизированной руки Rozum Robotics. Продукты и решения MOKO.,https://www.youtube.com/shorts/IQ2V9DLpqjg,Электроника и оборудование — проекты MOKO,13,"Разработка ПО — практика, инструменты и стримы; LabVIEW — драйверы, утилиты и плагины",Практика · Электроника,#55C9FF,LabVIEW,Shorts,,ДРАЙВЕРЫ РОБО-РУКИ,"Готово · вертикальный макет, применение отдельно",shorts/IQ2V9DLpqjg.jpg,1080 × 1920,154046,Финальное визуальное согласование; не обычная пользовательская обложка Shorts,Название и исходная обложка,Вертикальный макет 1080×1920. Исходное изображение сохранено. Не обычная пользовательская обложка Shorts: применение зависит от доступного выбора/монтажа кадра.,Нужен отдельный вертикальный макет; способ применения проверить в текущем интерфейсе YouTube. Вертикальный макет 1080×1920. Исходное изображение сохранено. Не обычная пользовательская обложка Shorts: применение зависит от доступного выбора/монтажа кадра.,MOKO - решения и обзоры,0b7c6d90294ef81bb302cea748d023fc0e768341684b202731cbc82420ac667f
